,load,distance,comp,wear rate  ,cof
,N,m,wt.%,x 10-4 mm3.m-1,
,,,,,
,30,4000,1.5,1.08,0.029
,30,6000,1.5,0.79,0.033
,30,8000,1.5,0.65,0.035
,50,4000,1.5,1.23,0.036
,50,6000,1.5,1.09,0.039
,50,8000,1.5,0.92,0.042
,70,4000,1.5,1.58,0.0408
,70,6000,1.5,1.42,0.045
,70,8000,1.5,1.22,0.0473
,30,4000,3,0.83,0.0265
,30,6000,3,0.59,0.028
,30,8000,3,0.51,0.03
,50,4000,3,1.13,0.032
,50,6000,3,0.99,0.034
,50,8000,3,0.75,0.0362
,70,4000,3,1.35,0.038
,70,6000,3,1.27,0.039
,70,8000,3,1.14,0.041
,30,4000,4.5,0.68,0.024
,30,6000,4.5,0.5,0.025
,30,8000,4.5,0.45,0.0268
,50,4000,4.5,0.92,0.0292
,50,6000,4.5,0.81,0.0312
,50,8000,4.5,0.68,0.032
,70,4000,4.5,1.2,0.034
,70,6000,4.5,1.09,0.0352
,70,8000,4.5,0.98,0.037
